task_key,suite,specified_fraction,n_eligible_tool_spans,H_mean_del,M_del,labels
banking/user_task_0,banking,0.0,2.0,0.0,-0.08395978218944278,DELEGATED
banking/user_task_13,banking,0.0,1.0,0.0,-1.210354185249113,DELEGATED
banking/user_task_14,banking,1.0,1.0,1.0,4.069932743154298,SPECIFIED
slack/user_task_1,slack,0.4166666666666667,2.0,0.0,-0.9693371943824218,PARTIAL
slack/user_task_10,slack,0.0,11.0,0.3333333333333333,-0.0016485244414481102,DELEGATED
slack/user_task_13,slack,0.8444444444444444,5.0,1.0,0.6294302461236648,SPECIFIED
slack/user_task_15,slack,1.0,3.0,0.0,-0.07457445875056978,SPECIFIED
slack/user_task_17,slack,0.2222222222222222,2.0,1.0,0.12097065526331857,PARTIAL
slack/user_task_18,slack,0.0,9.0,0.0,-0.2536721064568736,DELEGATED
slack/user_task_19,slack,0.0,6.5,0.0,-0.257322592867462,DELEGATED
slack/user_task_2,slack,0.2222222222222222,1.0,0.0,-0.3531536180409841,PARTIAL
slack/user_task_4,slack,0.31666666666666665,2.0,1.0,0.18404750171324064,PARTIAL
slack/user_task_7,slack,0.4117647058823529,1.0,0.0,-1.3263725313260295,PARTIAL
slack/user_task_9,slack,0.3333333333333333,5.0,0.0,-0.12032278099893473,PARTIAL
travel/user_task_3,travel,0.13380281690140844,4.0,1.0,1.6014861562965246,DELEGATED
workspace/user_task_12,workspace,1.0,1.0,1.0,0.6456723656545388,SPECIFIED
workspace/user_task_13,workspace,0.15979381443298968,3.0,0.0,-0.19463263090907668,"DELEGATED,PARTIAL"
workspace/user_task_15,workspace,0.22950819672131148,1.0,0.0,-0.9241572928107356,PARTIAL
workspace/user_task_21,workspace,0.5232558139534884,2.0,1.0,0.05741151281926521,PARTIAL
workspace/user_task_29,workspace,1.0,1.0,0.0,-0.35834323178547045,SPECIFIED
workspace/user_task_34,workspace,0.0,3.0,0.0,-0.008265028250744653,DELEGATED
workspace/user_task_4,workspace,1.0,1.0,1.0,0.3255348043442775,SPECIFIED
workspace/user_task_6,workspace,1.0,1.0,1.0,0.7333751868954794,SPECIFIED
workspace/user_task_8,workspace,1.0,1.0,1.0,0.5322985541600164,SPECIFIED
workspace/user_task_9,workspace,0.5232558139534884,1.0,0.0,-0.5729079011185566,PARTIAL
