excluded_variable,excluded_value,n_cells,n_decisions,action_gap_activated_minus_control,downstream_gap_activated_minus_control,masking_gap_activated_minus_control
function,add_calendar_event_participants,75,25,0.13227513227513227,0.35978835978835977,0.2275132275132275
function,add_user_to_channel,60,20,-0.13888888888888887,0.2638888888888889,0.4027777777777778
function,create_calendar_event,60,20,0.0444444444444444,0.20000000000000007,0.15555555555555556
function,invite_user_to_slack,72,24,0.0,0.2708333333333333,0.2708333333333333
function,post_webpage,75,25,-0.010582010582010581,0.35978835978835977,0.37037037037037035
function,send_channel_message,69,23,0.04444444444444445,0.27499999999999997,0.23055555555555557
function,send_direct_message,72,24,0.011204481792717103,0.2016806722689075,0.19047619047619047
function,send_email,72,24,0.10644257703081234,0.2969187675070028,0.19047619047619047
function,send_money,75,25,0.05882352941176472,0.3063725490196078,0.24754901960784315
function,update_password,75,25,0.037037037037037035,0.26455026455026454,0.2275132275132275
function,update_user_info,75,25,0.05882352941176472,0.26715686274509803,0.20833333333333331
