variable,value,n_cells,n_decisions,action_local_rate,downstream_rate,masking_rate
activated,False,24,8,0.3333333333333333,0.4583333333333333,0.125
activated,True,54,18,0.37037037037037035,0.7407407407407407,0.37037037037037035
label,DELEGATED,27,9,0.4444444444444444,0.6666666666666666,0.2222222222222222
label,PARTIAL,30,10,0.3333333333333333,0.8,0.4666666666666667
label,SPECIFIED,21,7,0.2857142857142857,0.42857142857142855,0.14285714285714285
open_text,False,30,10,0.7,0.7666666666666667,0.06666666666666667
open_text,True,48,16,0.14583333333333334,0.5833333333333334,0.4375
suite,banking,9,3,0.1111111111111111,0.5555555555555556,0.4444444444444444
suite,slack,42,14,0.47619047619047616,0.7619047619047619,0.2857142857142857
suite,travel,3,1,0.6666666666666666,0.6666666666666666,0.0
suite,workspace,24,8,0.20833333333333334,0.5,0.2916666666666667
function,add_calendar_event_participants,3,1,1.0,1.0,0.0
function,add_user_to_channel,18,6,0.7222222222222222,0.7777777777777778,0.05555555555555555
function,create_calendar_event,18,6,0.1111111111111111,0.3333333333333333,0.2222222222222222
function,invite_user_to_slack,6,2,0.6666666666666666,0.8333333333333334,0.16666666666666666
function,post_webpage,3,1,0.0,1.0,1.0
function,send_channel_message,9,3,0.3333333333333333,0.7777777777777778,0.4444444444444444
function,send_direct_message,6,2,0.0,0.5,0.5
function,send_email,6,2,0.3333333333333333,0.8333333333333334,0.5
function,send_money,3,1,0.0,0.3333333333333333,0.3333333333333333
function,update_password,3,1,0.3333333333333333,0.3333333333333333,0.0
function,update_user_info,3,1,0.0,1.0,1.0
model,gemma,26,26,0.2692307692307692,0.5769230769230769,0.3076923076923077
model,llama,26,26,0.38461538461538464,0.6538461538461539,0.2692307692307692
model,qwen,26,26,0.4230769230769231,0.7307692307692307,0.3076923076923077
