stratum_variable,stratum_value,activated_cells,control_cells,action_gap,downstream_gap,masking_gap
suite,banking,6,3,-0.3333333333333333,0.3333333333333333,0.6666666666666666
suite,slack,36,6,0.5555555555555556,0.3055555555555556,-0.25
suite,workspace,12,12,-0.4166666666666667,0.16666666666666669,0.5833333333333334
function,create_calendar_event,9,9,-0.2222222222222222,0.2222222222222222,0.4444444444444444
function,send_direct_message,3,3,0.0,1.0,1.0
function,send_email,3,3,-0.6666666666666666,0.33333333333333337,1.0
label,DELEGATED,24,3,-0.24999999999999994,0.0,0.25
label,PARTIAL,27,3,0.37037037037037035,-0.2222222222222222,-0.5925925925925926
label,SPECIFIED,3,18,-0.3333333333333333,0.6666666666666667,1.0
open_text,False,24,6,0.04166666666666674,0.125,0.08333333333333333
open_text,True,30,18,-0.1222222222222222,0.31111111111111106,0.43333333333333335
