threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
below_min,-2.2771108347765443,0,0.0,0,0.0,0,144,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,0,0.5,0,0
breakpoint_0,-2.2771108307770205,0,0.0,0,0.0,0,144,0.0,0,0.0,1,0.020833333333333332,0.020833333333333332,0.0,0.0625,1,23,0,0.5104166666666666,0,0
interval_0_1,-2.2618928072760394,0,0.0,0,0.0,0,144,0.0,0,0.0,1,0.020833333333333332,0.020833333333333332,0.0,0.0625,1,23,0,0.5104166666666666,0,0
breakpoint_1,-2.2466747837750587,0,0.0,0,0.0,0,144,0.0,0,0.0,2,0.041666666666666664,0.041666666666666664,0.0,0.10416666666666667,2,22,0,0.5208333333333334,0,0
interval_1_2,-2.230559309182186,0,0.0,0,0.0,0,144,0.0,0,0.0,2,0.041666666666666664,0.041666666666666664,0.0,0.10416666666666667,2,22,0,0.5208333333333334,0,0
breakpoint_2,-2.2144438345893134,0,0.0,0,0.0,0,144,0.0,0,0.0,3,0.0625,0.0625,0.0,0.125,3,21,0,0.53125,0,0
interval_2_3,-2.178452514038396,0,0.0,0,0.0,0,144,0.0,0,0.0,3,0.0625,0.0625,0.0,0.125,3,21,0,0.53125,0,0
breakpoint_3,-2.142461193487479,0,0.0,0,0.0,0,144,0.0,0,0.0,4,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.16666666666666666,4,20,0,0.5416666666666666,0,0
interval_3_4,-2.136717777001473,0,0.0,0,0.0,0,144,0.0,0,0.0,4,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.16666666666666666,4,20,0,0.5416666666666666,0,0
breakpoint_4,-2.130974360515467,0,0.0,0,0.0,0,144,0.0,0,0.0,5,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.20833333333333334,4,20,0,0.5520833333333334,0,0
interval_4_5,-2.129814034350109,0,0.0,0,0.0,0,144,0.0,0,0.0,5,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.20833333333333334,4,20,0,0.5520833333333334,0,0
breakpoint_5,-2.1286537081847516,0,0.0,0,0.0,0,144,0.0,0,0.0,6,0.125,0.125,0.020833333333333332,0.25,4,20,0,0.5625,0,0
interval_5_6,-2.128393323001844,0,0.0,0,0.0,0,144,0.0,0,0.0,6,0.125,0.125,0.020833333333333332,0.25,4,20,0,0.5625,0,0
breakpoint_6,-2.1281329378189366,0,0.0,0,0.0,0,144,0.0,0,0.0,7,0.14583333333333334,0.14583333333333334,0.041666666666666664,0.2708333333333333,5,19,0,0.5729166666666666,0,0
interval_6_7,-2.0673396249425817,0,0.0,0,0.0,0,144,0.0,0,0.0,7,0.14583333333333334,0.14583333333333334,0.041666666666666664,0.2708333333333333,5,19,0,0.5729166666666666,0,0
breakpoint_7,-2.006546312066227,0,0.0,0,0.0,0,144,0.0,0,0.0,8,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.3125,5,19,0,0.5833333333333334,0,0
interval_7_8,-1.995080486197896,0,0.0,0,0.0,0,144,0.0,0,0.0,8,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.3125,5,19,0,0.5833333333333334,0,0
breakpoint_8,-1.983614660329565,0,0.0,0,0.0,0,144,0.0,0,0.0,9,0.1875,0.1875,0.0625,0.3333333333333333,6,18,0,0.59375,0,0
interval_8_9,-1.9185034834099515,0,0.0,0,0.0,0,144,0.0,0,0.0,9,0.1875,0.1875,0.0625,0.3333333333333333,6,18,0,0.59375,0,0
breakpoint_9,-1.853392306490338,0,0.0,0,0.0,0,144,0.0,0,0.0,10,0.20833333333333334,0.20833333333333334,0.0625,0.375,6,18,0,0.6041666666666666,0,0
interval_9_10,-1.8096060952844633,0,0.0,0,0.0,0,144,0.0,0,0.0,10,0.20833333333333334,0.20833333333333334,0.0625,0.375,6,18,0,0.6041666666666666,0,0
breakpoint_10,-1.7658198840785886,0,0.0,0,0.0,0,144,0.0,0,0.0,11,0.22916666666666666,0.22916666666666666,0.08333333333333333,0.3958333333333333,6,18,0,0.6145833333333334,0,0
interval_10_11,-1.7097788864858414,0,0.0,0,0.0,0,144,0.0,0,0.0,11,0.22916666666666666,0.22916666666666666,0.08333333333333333,0.3958333333333333,6,18,0,0.6145833333333334,0,0
