threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
below_min,-3.2972100626091154,0,0.0,0,0.0,0,144,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,0,0.5,0,0
breakpoint_0,-3.297210057666088,0,0.0,0,0.0,0,144,0.0,0,0.0,1,0.020833333333333332,0.020833333333333332,0.0,0.0625,1,23,0,0.5104166666666666,0,0
interval_0_1,-3.252191339074029,0,0.0,0,0.0,0,144,0.0,0,0.0,1,0.020833333333333332,0.020833333333333332,0.0,0.0625,1,23,0,0.5104166666666666,0,0
breakpoint_1,-3.20717262048197,0,0.0,0,0.0,0,144,0.0,0,0.0,2,0.041666666666666664,0.041666666666666664,0.0,0.10416666666666667,2,22,0,0.5208333333333334,0,0
interval_1_2,-3.161584570092918,0,0.0,0,0.0,0,144,0.0,0,0.0,2,0.041666666666666664,0.041666666666666664,0.0,0.10416666666666667,2,22,0,0.5208333333333334,0,0
breakpoint_2,-3.1159965197038657,0,0.0,0,0.0,0,144,0.0,0,0.0,3,0.0625,0.0625,0.0,0.125,3,21,0,0.53125,0,0
interval_2_3,-3.114755011772285,0,0.0,0,0.0,0,144,0.0,0,0.0,3,0.0625,0.0625,0.0,0.125,3,21,0,0.53125,0,0
breakpoint_3,-3.1135135038407045,0,0.0,0,0.0,0,144,0.0,0,0.0,4,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.16666666666666666,4,20,0,0.5416666666666666,0,0
interval_3_4,-3.074101762560676,0,0.0,0,0.0,0,144,0.0,0,0.0,4,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.16666666666666666,4,20,0,0.5416666666666666,0,0
breakpoint_4,-3.034690021280648,0,0.0,0,0.0,0,144,0.0,0,0.0,5,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.1875,5,19,0,0.5520833333333334,0,0
