threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
below_min,-1.1379819364466166,0,0.0,0,0.0,0,144,0.0,0,0.0,0,0.0,0,0.0,0,0.0
breakpoint_0,-1.1379819335862218,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,0,0.0,1,0.041666666666666664,0,0.0,1,0.041666666666666664
interval_0_1,-1.108231637148364,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,0,0.0,1,0.041666666666666664,0,0.0,1,0.041666666666666664
breakpoint_1,-1.0784813407105063,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,0,0.0,2,0.08333333333333333,0,0.0,2,0.08333333333333333
interval_1_2,-1.0715456182144243,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,0,0.0,2,0.08333333333333333,0,0.0,2,0.08333333333333333
breakpoint_2,-1.0646098957183423,3,0.03125,3,0.125,9,144,0.0625,0,0.0,3,0.125,0,0.0,3,0.125
interval_2_3,-1.0440727146018896,3,0.03125,3,0.125,9,144,0.0625,0,0.0,3,0.125,0,0.0,3,0.125
breakpoint_3,-1.023535533485437,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,0,0.0,4,0.16666666666666666,0,0.0,4,0.16666666666666666
interval_3_4,-1.0159587078139656,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,0,0.0,4,0.16666666666666666,0,0.0,4,0.16666666666666666
breakpoint_4,-1.0083818821424941,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,0,0.0,5,0.20833333333333334,0,0.0,5,0.20833333333333334
interval_4_5,-0.9934732482734061,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,0,0.0,5,0.20833333333333334,0,0.0,5,0.20833333333333334
breakpoint_5,-0.9785646144043182,6,0.0625,6,0.25,18,144,0.125,0,0.0,6,0.25,0,0.0,6,0.25
interval_5_6,-0.9703195765571256,6,0.0625,6,0.25,18,144,0.125,0,0.0,6,0.25,0,0.0,6,0.25
breakpoint_6,-0.9620745387099331,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,7,0.2916666666666667,0,0.0,7,0.2916666666666667
interval_6_7,-0.95641439958996,7,0.07291666666666667,7,0.2916666666666667,21,144,0.14583333333333334,0,0.0,7,0.2916666666666667,0,0.0,7,0.2916666666666667
breakpoint_7,-0.9507542604699869,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,0,0.0,8,0.3333333333333333,0,0.0,8,0.3333333333333333
interval_7_8,-0.9424652891398928,8,0.08333333333333333,8,0.3333333333333333,24,144,0.16666666666666666,0,0.0,8,0.3333333333333333,0,0.0,8,0.3333333333333333
breakpoint_8,-0.9341763178097986,9,0.09375,8,0.3333333333333333,25,144,0.1736111111111111,1,0.041666666666666664,8,0.3333333333333333,0,0.0,7,0.2916666666666667
interval_8_9,-0.933910331029834,9,0.09375,8,0.3333333333333333,25,144,0.1736111111111111,1,0.041666666666666664,8,0.3333333333333333,0,0.0,7,0.2916666666666667
breakpoint_9,-0.9336443442498694,10,0.10416666666666667,9,0.375,28,144,0.19444444444444445,2,0.08333333333333333,8,0.3333333333333333,0,0.0,8,0.3333333333333333
interval_9_10,-0.9295990545354702,10,0.10416666666666667,9,0.375,28,144,0.19444444444444445,2,0.08333333333333333,8,0.3333333333333333,0,0.0,8,0.3333333333333333
breakpoint_10,-0.9255537648210711,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,2,0.08333333333333333,9,0.375,0,0.0,7,0.2916666666666667
interval_10_11,-0.9172243186813465,11,0.11458333333333333,9,0.375,29,144,0.2013888888888889,2,0.08333333333333333,9,0.375,0,0.0,7,0.2916666666666667
breakpoint_11,-0.9088948725416218,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,2,0.08333333333333333,10,0.4166666666666667,0,0.0,8,0.3333333333333333
interval_11_12,-0.9001932559123609,12,0.125,10,0.4166666666666667,32,144,0.2222222222222222,2,0.08333333333333333,10,0.4166666666666667,0,0.0,8,0.3333333333333333
breakpoint_12,-0.8914916392830998,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,2,0.08333333333333333,11,0.4583333333333333,0,0.0,9,0.375
interval_12_13,-0.8860232610142795,13,0.13541666666666666,11,0.4583333333333333,35,144,0.24305555555555555,2,0.08333333333333333,11,0.4583333333333333,0,0.0,9,0.375
