threshold_label,tau,flag_n,flag_rate,aivr_class_n,aivr_class,aivr_pairwise_n,aivr_pairwise_total,aivr_pairwise,p1_sham_n,p1_sham_rate,p1_echo_n,p1_echo_rate,p3_user_n,p3_user_rate,p3_tool_n,p3_tool_rate
below_min,-1.9017638831711028,0,0.0,0,0.0,0,144,0.0,0,0.0,0,0.0,0,0.0,0,0.0
breakpoint_0,-1.9017638796235217,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,1,0.041666666666666664,0,0.0,0,0.0,1,0.041666666666666664
interval_0_1,-1.8731008936242666,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,1,0.041666666666666664,0,0.0,0,0.0,1,0.041666666666666664
breakpoint_1,-1.8444379076250115,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,2,0.08333333333333333,0,0.0,0,0.0,2,0.08333333333333333
interval_1_2,-1.8105192462784871,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,2,0.08333333333333333,0,0.0,0,0.0,2,0.08333333333333333
breakpoint_2,-1.776600584931963,3,0.03125,3,0.125,9,144,0.0625,3,0.125,0,0.0,0,0.0,3,0.125
interval_2_3,-1.7741289516228893,3,0.03125,3,0.125,9,144,0.0625,3,0.125,0,0.0,0,0.0,3,0.125
breakpoint_3,-1.7716573183138156,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,4,0.16666666666666666,0,0.0,0,0.0,4,0.16666666666666666
interval_3_4,-1.7417679761745162,4,0.041666666666666664,4,0.16666666666666666,12,144,0.08333333333333333,4,0.16666666666666666,0,0.0,0,0.0,4,0.16666666666666666
breakpoint_4,-1.7118786340352166,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,5,0.20833333333333334,0,0.0,0,0.0,5,0.20833333333333334
interval_4_5,-1.6640662358012817,5,0.052083333333333336,5,0.20833333333333334,15,144,0.10416666666666667,5,0.20833333333333334,0,0.0,0,0.0,5,0.20833333333333334
breakpoint_5,-1.6162538375673468,6,0.0625,6,0.25,18,144,0.125,6,0.25,0,0.0,0,0.0,6,0.25
interval_5_6,-1.5441341536413644,6,0.0625,6,0.25,18,144,0.125,6,0.25,0,0.0,0,0.0,6,0.25
breakpoint_6,-1.472014469715382,7,0.07291666666666667,6,0.25,19,144,0.13194444444444445,6,0.25,1,0.041666666666666664,0,0.0,5,0.20833333333333334
interval_6_7,-1.4454979961250092,7,0.07291666666666667,6,0.25,19,144,0.13194444444444445,6,0.25,1,0.041666666666666664,0,0.0,5,0.20833333333333334
breakpoint_7,-1.418981522534636,8,0.08333333333333333,6,0.25,20,144,0.1388888888888889,6,0.25,2,0.08333333333333333,0,0.0,4,0.16666666666666666
interval_7_8,-1.4089712260208866,8,0.08333333333333333,6,0.25,20,144,0.1388888888888889,6,0.25,2,0.08333333333333333,0,0.0,4,0.16666666666666666
breakpoint_8,-1.3989609295071372,9,0.09375,6,0.25,21,144,0.14583333333333334,6,0.25,3,0.125,0,0.0,3,0.125
interval_8_9,-1.3835628817242167,9,0.09375,6,0.25,21,144,0.14583333333333334,6,0.25,3,0.125,0,0.0,3,0.125
